Statistic,Month,Commodity Group,UNIT,VALUE
EU HICP,1996M01,Meat (COICOP 01.1.2),Base 2015=100,87.8
EU HICP,1996M02,Meat (COICOP 01.1.2),Base 2015=100,88.2
EU HICP,1996M03,Meat (COICOP 01.1.2),Base 2015=100,89
EU HICP,1996M04,Meat (COICOP 01.1.2),Base 2015=100,90
EU HICP,1996M05,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1996M06,Meat (COICOP 01.1.2),Base 2015=100,91
EU HICP,1996M07,Meat (COICOP 01.1.2),Base 2015=100,90.6
EU HICP,1996M08,Meat (COICOP 01.1.2),Base 2015=100,90
EU HICP,1996M09,Meat (COICOP 01.1.2),Base 2015=100,89.4
EU HICP,1996M10,Meat (COICOP 01.1.2),Base 2015=100,89.2
EU HICP,1996M11,Meat (COICOP 01.1.2),Base 2015=100,89.6
EU HICP,1996M12,Meat (COICOP 01.1.2),Base 2015=100,89.6
EU HICP,1997M01,Meat (COICOP 01.1.2),Base 2015=100,90.8
EU HICP,1997M02,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1997M03,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1997M04,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,1997M05,Meat (COICOP 01.1.2),Base 2015=100,91.7
EU HICP,1997M06,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,1997M07,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,1997M08,Meat (COICOP 01.1.2),Base 2015=100,91.3
EU HICP,1997M09,Meat (COICOP 01.1.2),Base 2015=100,91
EU HICP,1997M10,Meat (COICOP 01.1.2),Base 2015=100,90.6
EU HICP,1997M11,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1997M12,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1998M01,Meat (COICOP 01.1.2),Base 2015=100,89.9
EU HICP,1998M02,Meat (COICOP 01.1.2),Base 2015=100,89
EU HICP,1998M03,Meat (COICOP 01.1.2),Base 2015=100,90
EU HICP,1998M04,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1998M05,Meat (COICOP 01.1.2),Base 2015=100,90.7
EU HICP,1998M06,Meat (COICOP 01.1.2),Base 2015=100,90.7
EU HICP,1998M07,Meat (COICOP 01.1.2),Base 2015=100,90.6
EU HICP,1998M08,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1998M09,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1998M10,Meat (COICOP 01.1.2),Base 2015=100,90
EU HICP,1998M11,Meat (COICOP 01.1.2),Base 2015=100,88.6
EU HICP,1998M12,Meat (COICOP 01.1.2),Base 2015=100,89.4
EU HICP,1999M01,Meat (COICOP 01.1.2),Base 2015=100,88.9
EU HICP,1999M02,Meat (COICOP 01.1.2),Base 2015=100,89.1
EU HICP,1999M03,Meat (COICOP 01.1.2),Base 2015=100,89.9
EU HICP,1999M04,Meat (COICOP 01.1.2),Base 2015=100,90.6
EU HICP,1999M05,Meat (COICOP 01.1.2),Base 2015=100,91
EU HICP,1999M06,Meat (COICOP 01.1.2),Base 2015=100,90.8
EU HICP,1999M07,Meat (COICOP 01.1.2),Base 2015=100,90.7
EU HICP,1999M08,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1999M09,Meat (COICOP 01.1.2),Base 2015=100,90.7
EU HICP,1999M10,Meat (COICOP 01.1.2),Base 2015=100,90.3
EU HICP,1999M11,Meat (COICOP 01.1.2),Base 2015=100,91.2
EU HICP,1999M12,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,2000M01,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,2000M02,Meat (COICOP 01.1.2),Base 2015=100,92.3
EU HICP,2000M03,Meat (COICOP 01.1.2),Base 2015=100,92.6
EU HICP,2000M04,Meat (COICOP 01.1.2),Base 2015=100,93.3
EU HICP,2000M05,Meat (COICOP 01.1.2),Base 2015=100,94.9
EU HICP,2000M06,Meat (COICOP 01.1.2),Base 2015=100,94.2
EU HICP,2000M07,Meat (COICOP 01.1.2),Base 2015=100,95.1
EU HICP,2000M08,Meat (COICOP 01.1.2),Base 2015=100,95.1
EU HICP,2000M09,Meat (COICOP 01.1.2),Base 2015=100,95.9
EU HICP,2000M10,Meat (COICOP 01.1.2),Base 2015=100,95.8
EU HICP,2000M11,Meat (COICOP 01.1.2),Base 2015=100,96.1
EU HICP,2000M12,Meat (COICOP 01.1.2),Base 2015=100,96.9
EU HICP,2001M01,Meat (COICOP 01.1.2),Base 2015=100,97.2
EU HICP,2001M02,Meat (COICOP 01.1.2),Base 2015=100,98.1
EU HICP,2001M03,Meat (COICOP 01.1.2),Base 2015=100,101.9
EU HICP,2001M04,Meat (COICOP 01.1.2),Base 2015=100,104.6
EU HICP,2001M05,Meat (COICOP 01.1.2),Base 2015=100,105.1
EU HICP,2001M06,Meat (COICOP 01.1.2),Base 2015=100,105.2
EU HICP,2001M07,Meat (COICOP 01.1.2),Base 2015=100,105.6
EU HICP,2001M08,Meat (COICOP 01.1.2),Base 2015=100,105
EU HICP,2001M09,Meat (COICOP 01.1.2),Base 2015=100,105.3
EU HICP,2001M10,Meat (COICOP 01.1.2),Base 2015=100,105.2
EU HICP,2001M11,Meat (COICOP 01.1.2),Base 2015=100,106.2
EU HICP,2001M12,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2002M01,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2002M02,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M03,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2002M04,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M05,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2002M06,Meat (COICOP 01.1.2),Base 2015=100,106.7
EU HICP,2002M07,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M08,Meat (COICOP 01.1.2),Base 2015=100,106.6
EU HICP,2002M09,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2002M10,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2002M11,Meat (COICOP 01.1.2),Base 2015=100,107.2
EU HICP,2002M12,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2003M01,Meat (COICOP 01.1.2),Base 2015=100,106.6
EU HICP,2003M02,Meat (COICOP 01.1.2),Base 2015=100,106.2
EU HICP,2003M03,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2003M04,Meat (COICOP 01.1.2),Base 2015=100,107
EU HICP,2003M05,Meat (COICOP 01.1.2),Base 2015=100,107
EU HICP,2003M06,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2003M07,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2003M08,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2003M09,Meat (COICOP 01.1.2),Base 2015=100,106.5
EU HICP,2003M10,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2003M11,Meat (COICOP 01.1.2),Base 2015=100,106.2
EU HICP,2003M12,Meat (COICOP 01.1.2),Base 2015=100,106.1
EU HICP,2004M01,Meat (COICOP 01.1.2),Base 2015=100,106.1
EU HICP,2004M02,Meat (COICOP 01.1.2),Base 2015=100,106
EU HICP,2004M03,Meat (COICOP 01.1.2),Base 2015=100,106
EU HICP,2004M04,Meat (COICOP 01.1.2),Base 2015=100,106.1
EU HICP,2004M05,Meat (COICOP 01.1.2),Base 2015=100,106.1
EU HICP,2004M06,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2004M07,Meat (COICOP 01.1.2),Base 2015=100,106.6
EU HICP,2004M08,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2004M09,Meat (COICOP 01.1.2),Base 2015=100,106.7
EU HICP,2004M10,Meat (COICOP 01.1.2),Base 2015=100,106.4
EU HICP,2004M11,Meat (COICOP 01.1.2),Base 2015=100,106.5
EU HICP,2004M12,Meat (COICOP 01.1.2),Base 2015=100,107
EU HICP,2005M01,Meat (COICOP 01.1.2),Base 2015=100,106.7
EU HICP,2005M02,Meat (COICOP 01.1.2),Base 2015=100,106.9
EU HICP,2005M03,Meat (COICOP 01.1.2),Base 2015=100,106.6
EU HICP,2005M04,Meat (COICOP 01.1.2),Base 2015=100,105.2
EU HICP,2005M05,Meat (COICOP 01.1.2),Base 2015=100,105.5
EU HICP,2005M06,Meat (COICOP 01.1.2),Base 2015=100,104.9
EU HICP,2005M07,Meat (COICOP 01.1.2),Base 2015=100,104.9
EU HICP,2005M08,Meat (COICOP 01.1.2),Base 2015=100,104.3
EU HICP,2005M09,Meat (COICOP 01.1.2),Base 2015=100,104.1
EU HICP,2005M10,Meat (COICOP 01.1.2),Base 2015=100,103.5
EU HICP,2005M11,Meat (COICOP 01.1.2),Base 2015=100,103.8
EU HICP,2005M12,Meat (COICOP 01.1.2),Base 2015=100,104.4
EU HICP,2006M01,Meat (COICOP 01.1.2),Base 2015=100,104.4
EU HICP,2006M02,Meat (COICOP 01.1.2),Base 2015=100,104.9
EU HICP,2006M03,Meat (COICOP 01.1.2),Base 2015=100,105.8
EU HICP,2006M04,Meat (COICOP 01.1.2),Base 2015=100,105.6
EU HICP,2006M05,Meat (COICOP 01.1.2),Base 2015=100,107.6
EU HICP,2006M06,Meat (COICOP 01.1.2),Base 2015=100,106.2
EU HICP,2006M07,Meat (COICOP 01.1.2),Base 2015=100,107.1
EU HICP,2006M08,Meat (COICOP 01.1.2),Base 2015=100,107.5
EU HICP,2006M09,Meat (COICOP 01.1.2),Base 2015=100,107.5
EU HICP,2006M10,Meat (COICOP 01.1.2),Base 2015=100,107.7
EU HICP,2006M11,Meat (COICOP 01.1.2),Base 2015=100,107.3
EU HICP,2006M12,Meat (COICOP 01.1.2),Base 2015=100,107.5
EU HICP,2007M01,Meat (COICOP 01.1.2),Base 2015=100,107.7
EU HICP,2007M02,Meat (COICOP 01.1.2),Base 2015=100,108.2
EU HICP,2007M03,Meat (COICOP 01.1.2),Base 2015=100,107.8
EU HICP,2007M04,Meat (COICOP 01.1.2),Base 2015=100,108.4
EU HICP,2007M05,Meat (COICOP 01.1.2),Base 2015=100,109.2
EU HICP,2007M06,Meat (COICOP 01.1.2),Base 2015=100,109.4
EU HICP,2007M07,Meat (COICOP 01.1.2),Base 2015=100,109.6
EU HICP,2007M08,Meat (COICOP 01.1.2),Base 2015=100,108.7
EU HICP,2007M09,Meat (COICOP 01.1.2),Base 2015=100,109.2
EU HICP,2007M10,Meat (COICOP 01.1.2),Base 2015=100,109.6
EU HICP,2007M11,Meat (COICOP 01.1.2),Base 2015=100,109.4
EU HICP,2007M12,Meat (COICOP 01.1.2),Base 2015=100,108.7
EU HICP,2008M01,Meat (COICOP 01.1.2),Base 2015=100,110.2
EU HICP,2008M02,Meat (COICOP 01.1.2),Base 2015=100,111.9
EU HICP,2008M03,Meat (COICOP 01.1.2),Base 2015=100,113.6
EU HICP,2008M04,Meat (COICOP 01.1.2),Base 2015=100,114.6
EU HICP,2008M05,Meat (COICOP 01.1.2),Base 2015=100,115.5
EU HICP,2008M06,Meat (COICOP 01.1.2),Base 2015=100,114.5
EU HICP,2008M07,Meat (COICOP 01.1.2),Base 2015=100,115.3
EU HICP,2008M08,Meat (COICOP 01.1.2),Base 2015=100,114.1
EU HICP,2008M09,Meat (COICOP 01.1.2),Base 2015=100,114.3
EU HICP,2008M10,Meat (COICOP 01.1.2),Base 2015=100,114.8
EU HICP,2008M11,Meat (COICOP 01.1.2),Base 2015=100,114.1
EU HICP,2008M12,Meat (COICOP 01.1.2),Base 2015=100,114
EU HICP,2009M01,Meat (COICOP 01.1.2),Base 2015=100,115.1
EU HICP,2009M02,Meat (COICOP 01.1.2),Base 2015=100,113.7
EU HICP,2009M03,Meat (COICOP 01.1.2),Base 2015=100,113.2
EU HICP,2009M04,Meat (COICOP 01.1.2),Base 2015=100,111.7
EU HICP,2009M05,Meat (COICOP 01.1.2),Base 2015=100,111.3
EU HICP,2009M06,Meat (COICOP 01.1.2),Base 2015=100,110
EU HICP,2009M07,Meat (COICOP 01.1.2),Base 2015=100,109
EU HICP,2009M08,Meat (COICOP 01.1.2),Base 2015=100,108.7
EU HICP,2009M09,Meat (COICOP 01.1.2),Base 2015=100,107.4
EU HICP,2009M10,Meat (COICOP 01.1.2),Base 2015=100,107.2
EU HICP,2009M11,Meat (COICOP 01.1.2),Base 2015=100,106.8
EU HICP,2009M12,Meat (COICOP 01.1.2),Base 2015=100,106.3
EU HICP,2010M01,Meat (COICOP 01.1.2),Base 2015=100,105.7
EU HICP,2010M02,Meat (COICOP 01.1.2),Base 2015=100,104.5
EU HICP,2010M03,Meat (COICOP 01.1.2),Base 2015=100,103.6
EU HICP,2010M04,Meat (COICOP 01.1.2),Base 2015=100,103
EU HICP,2010M05,Meat (COICOP 01.1.2),Base 2015=100,103.5
EU HICP,2010M06,Meat (COICOP 01.1.2),Base 2015=100,103.7
EU HICP,2010M07,Meat (COICOP 01.1.2),Base 2015=100,103.3
EU HICP,2010M08,Meat (COICOP 01.1.2),Base 2015=100,102.4
EU HICP,2010M09,Meat (COICOP 01.1.2),Base 2015=100,101.8
EU HICP,2010M10,Meat (COICOP 01.1.2),Base 2015=100,101.5
EU HICP,2010M11,Meat (COICOP 01.1.2),Base 2015=100,101.5
EU HICP,2010M12,Meat (COICOP 01.1.2),Base 2015=100,101.5
EU HICP,2011M01,Meat (COICOP 01.1.2),Base 2015=100,102
EU HICP,2011M02,Meat (COICOP 01.1.2),Base 2015=100,102
EU HICP,2011M03,Meat (COICOP 01.1.2),Base 2015=100,102.5
EU HICP,2011M04,Meat (COICOP 01.1.2),Base 2015=100,101.4
EU HICP,2011M05,Meat (COICOP 01.1.2),Base 2015=100,102
EU HICP,2011M06,Meat (COICOP 01.1.2),Base 2015=100,102
EU HICP,2011M07,Meat (COICOP 01.1.2),Base 2015=100,103
EU HICP,2011M08,Meat (COICOP 01.1.2),Base 2015=100,102.8
EU HICP,2011M09,Meat (COICOP 01.1.2),Base 2015=100,103.1
EU HICP,2011M10,Meat (COICOP 01.1.2),Base 2015=100,102.3
EU HICP,2011M11,Meat (COICOP 01.1.2),Base 2015=100,104.1
EU HICP,2011M12,Meat (COICOP 01.1.2),Base 2015=100,102.9
EU HICP,2012M01,Meat (COICOP 01.1.2),Base 2015=100,102.4
EU HICP,2012M02,Meat (COICOP 01.1.2),Base 2015=100,102.1
EU HICP,2012M03,Meat (COICOP 01.1.2),Base 2015=100,102.1
EU HICP,2012M04,Meat (COICOP 01.1.2),Base 2015=100,103
EU HICP,2012M05,Meat (COICOP 01.1.2),Base 2015=100,103
EU HICP,2012M06,Meat (COICOP 01.1.2),Base 2015=100,102.5
EU HICP,2012M07,Meat (COICOP 01.1.2),Base 2015=100,102.9
EU HICP,2012M08,Meat (COICOP 01.1.2),Base 2015=100,102.8
EU HICP,2012M09,Meat (COICOP 01.1.2),Base 2015=100,103.1
EU HICP,2012M10,Meat (COICOP 01.1.2),Base 2015=100,103.8
EU HICP,2012M11,Meat (COICOP 01.1.2),Base 2015=100,103.5
EU HICP,2012M12,Meat (COICOP 01.1.2),Base 2015=100,103.8
EU HICP,2013M01,Meat (COICOP 01.1.2),Base 2015=100,104
EU HICP,2013M02,Meat (COICOP 01.1.2),Base 2015=100,104.3
EU HICP,2013M03,Meat (COICOP 01.1.2),Base 2015=100,104.1
EU HICP,2013M04,Meat (COICOP 01.1.2),Base 2015=100,104.3
EU HICP,2013M05,Meat (COICOP 01.1.2),Base 2015=100,104.4
EU HICP,2013M06,Meat (COICOP 01.1.2),Base 2015=100,105.3
EU HICP,2013M07,Meat (COICOP 01.1.2),Base 2015=100,105.7
EU HICP,2013M08,Meat (COICOP 01.1.2),Base 2015=100,104.8
EU HICP,2013M09,Meat (COICOP 01.1.2),Base 2015=100,104
EU HICP,2013M10,Meat (COICOP 01.1.2),Base 2015=100,104.8
EU HICP,2013M11,Meat (COICOP 01.1.2),Base 2015=100,104.5
EU HICP,2013M12,Meat (COICOP 01.1.2),Base 2015=100,104.4
EU HICP,2014M01,Meat (COICOP 01.1.2),Base 2015=100,103.4
EU HICP,2014M02,Meat (COICOP 01.1.2),Base 2015=100,103.4
EU HICP,2014M03,Meat (COICOP 01.1.2),Base 2015=100,103.7
EU HICP,2014M04,Meat (COICOP 01.1.2),Base 2015=100,103.3
EU HICP,2014M05,Meat (COICOP 01.1.2),Base 2015=100,103
EU HICP,2014M06,Meat (COICOP 01.1.2),Base 2015=100,102.9
EU HICP,2014M07,Meat (COICOP 01.1.2),Base 2015=100,103
EU HICP,2014M08,Meat (COICOP 01.1.2),Base 2015=100,102.1
EU HICP,2014M09,Meat (COICOP 01.1.2),Base 2015=100,102.4
EU HICP,2014M10,Meat (COICOP 01.1.2),Base 2015=100,101.6
EU HICP,2014M11,Meat (COICOP 01.1.2),Base 2015=100,101.4
EU HICP,2014M12,Meat (COICOP 01.1.2),Base 2015=100,100.8
EU HICP,2015M01,Meat (COICOP 01.1.2),Base 2015=100,101.5
EU HICP,2015M02,Meat (COICOP 01.1.2),Base 2015=100,100.5
EU HICP,2015M03,Meat (COICOP 01.1.2),Base 2015=100,101.1
EU HICP,2015M04,Meat (COICOP 01.1.2),Base 2015=100,100.8
EU HICP,2015M05,Meat (COICOP 01.1.2),Base 2015=100,101
EU HICP,2015M06,Meat (COICOP 01.1.2),Base 2015=100,100.4
EU HICP,2015M07,Meat (COICOP 01.1.2),Base 2015=100,99.6
EU HICP,2015M08,Meat (COICOP 01.1.2),Base 2015=100,99.1
EU HICP,2015M09,Meat (COICOP 01.1.2),Base 2015=100,99.2
EU HICP,2015M10,Meat (COICOP 01.1.2),Base 2015=100,99.5
EU HICP,2015M11,Meat (COICOP 01.1.2),Base 2015=100,99
EU HICP,2015M12,Meat (COICOP 01.1.2),Base 2015=100,98.5
EU HICP,2016M01,Meat (COICOP 01.1.2),Base 2015=100,98.4
EU HICP,2016M02,Meat (COICOP 01.1.2),Base 2015=100,98.5
EU HICP,2016M03,Meat (COICOP 01.1.2),Base 2015=100,97.5
EU HICP,2016M04,Meat (COICOP 01.1.2),Base 2015=100,98
EU HICP,2016M05,Meat (COICOP 01.1.2),Base 2015=100,98
EU HICP,2016M06,Meat (COICOP 01.1.2),Base 2015=100,98.1
EU HICP,2016M07,Meat (COICOP 01.1.2),Base 2015=100,96.8
EU HICP,2016M08,Meat (COICOP 01.1.2),Base 2015=100,97.3
EU HICP,2016M09,Meat (COICOP 01.1.2),Base 2015=100,97.3
EU HICP,2016M10,Meat (COICOP 01.1.2),Base 2015=100,96.9
EU HICP,2016M11,Meat (COICOP 01.1.2),Base 2015=100,97
EU HICP,2016M12,Meat (COICOP 01.1.2),Base 2015=100,96.3
EU HICP,2017M01,Meat (COICOP 01.1.2),Base 2015=100,97.9
EU HICP,2017M02,Meat (COICOP 01.1.2),Base 2015=100,96.1
EU HICP,2017M03,Meat (COICOP 01.1.2),Base 2015=100,96.6
EU HICP,2017M04,Meat (COICOP 01.1.2),Base 2015=100,96.3
EU HICP,2017M05,Meat (COICOP 01.1.2),Base 2015=100,97.4
EU HICP,2017M06,Meat (COICOP 01.1.2),Base 2015=100,96.3
EU HICP,2017M07,Meat (COICOP 01.1.2),Base 2015=100,96.1
EU HICP,2017M08,Meat (COICOP 01.1.2),Base 2015=100,95.9
EU HICP,2017M09,Meat (COICOP 01.1.2),Base 2015=100,96.4
EU HICP,2017M10,Meat (COICOP 01.1.2),Base 2015=100,96.4
EU HICP,2017M11,Meat (COICOP 01.1.2),Base 2015=100,95.9
EU HICP,2017M12,Meat (COICOP 01.1.2),Base 2015=100,95.1
EU HICP,2018M01,Meat (COICOP 01.1.2),Base 2015=100,95.6
EU HICP,2018M02,Meat (COICOP 01.1.2),Base 2015=100,94.6
EU HICP,2018M03,Meat (COICOP 01.1.2),Base 2015=100,94
EU HICP,2018M04,Meat (COICOP 01.1.2),Base 2015=100,93.5
EU HICP,2018M05,Meat (COICOP 01.1.2),Base 2015=100,94.2
EU HICP,2018M06,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2018M07,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2018M08,Meat (COICOP 01.1.2),Base 2015=100,93.7
EU HICP,2018M09,Meat (COICOP 01.1.2),Base 2015=100,92.9
EU HICP,2018M10,Meat (COICOP 01.1.2),Base 2015=100,93.2
EU HICP,2018M11,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2018M12,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2019M01,Meat (COICOP 01.1.2),Base 2015=100,93.2
EU HICP,2019M02,Meat (COICOP 01.1.2),Base 2015=100,92.2
EU HICP,2019M03,Meat (COICOP 01.1.2),Base 2015=100,92.5
EU HICP,2019M04,Meat (COICOP 01.1.2),Base 2015=100,93
EU HICP,2019M05,Meat (COICOP 01.1.2),Base 2015=100,93.5
EU HICP,2019M06,Meat (COICOP 01.1.2),Base 2015=100,93
EU HICP,2019M07,Meat (COICOP 01.1.2),Base 2015=100,92.2
EU HICP,2019M08,Meat (COICOP 01.1.2),Base 2015=100,93
EU HICP,2019M09,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2019M10,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2019M11,Meat (COICOP 01.1.2),Base 2015=100,92.2
EU HICP,2019M12,Meat (COICOP 01.1.2),Base 2015=100,93
EU HICP,2020M01,Meat (COICOP 01.1.2),Base 2015=100,93
EU HICP,2020M02,Meat (COICOP 01.1.2),Base 2015=100,93.3
EU HICP,2020M03,Meat (COICOP 01.1.2),Base 2015=100,93.2
EU HICP,2020M04,Meat (COICOP 01.1.2),Base 2015=100,93.4
EU HICP,2020M05,Meat (COICOP 01.1.2),Base 2015=100,93.3
EU HICP,2020M06,Meat (COICOP 01.1.2),Base 2015=100,92.8
EU HICP,2020M07,Meat (COICOP 01.1.2),Base 2015=100,92.8
EU HICP,2020M08,Meat (COICOP 01.1.2),Base 2015=100,92.8
EU HICP,2020M09,Meat (COICOP 01.1.2),Base 2015=100,92.2
EU HICP,2020M10,Meat (COICOP 01.1.2),Base 2015=100,92.7
EU HICP,2020M11,Meat (COICOP 01.1.2),Base 2015=100,92.5
EU HICP,2020M12,Meat (COICOP 01.1.2),Base 2015=100,92.7
EU HICP,2021M01,Meat (COICOP 01.1.2),Base 2015=100,91.3
EU HICP,2021M02,Meat (COICOP 01.1.2),Base 2015=100,90.2
EU HICP,2021M03,Meat (COICOP 01.1.2),Base 2015=100,91.6
EU HICP,2021M04,Meat (COICOP 01.1.2),Base 2015=100,92.1
EU HICP,2021M05,Meat (COICOP 01.1.2),Base 2015=100,91.1
EU HICP,2021M06,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,2021M07,Meat (COICOP 01.1.2),Base 2015=100,92.2
EU HICP,2021M08,Meat (COICOP 01.1.2),Base 2015=100,91.7
EU HICP,2021M09,Meat (COICOP 01.1.2),Base 2015=100,92.1
EU HICP,2021M10,Meat (COICOP 01.1.2),Base 2015=100,92.5
EU HICP,2021M11,Meat (COICOP 01.1.2),Base 2015=100,91.7
EU HICP,2021M12,Meat (COICOP 01.1.2),Base 2015=100,93
EU HICP,2022M01,Meat (COICOP 01.1.2),Base 2015=100,93.1
EU HICP,2022M02,Meat (COICOP 01.1.2),Base 2015=100,93.8
EU HICP,2022M03,Meat (COICOP 01.1.2),Base 2015=100,94.8
