Statistic,Month,Commodity Group,VALUE
EU HICP,2009M02,Bread and cereals (COICOP 01.1.1),111.5
EU HICP,2009M02,Meat (COICOP 01.1.2),113.7
EU HICP,2009M03,All-items HICP (COICOP 00),98.5
EU HICP,2009M03,Food and non-alcoholic beverages (COICOP 01),110.1
EU HICP,2009M03,Food (COICOP 01.1),110.7
EU HICP,2009M03,Bread and cereals (COICOP 01.1.1),111.3
EU HICP,2009M03,Meat (COICOP 01.1.2),113.2
EU HICP,2009M04,All-items HICP (COICOP 00),98.6
EU HICP,2009M04,Food and non-alcoholic beverages (COICOP 01),108.9
EU HICP,2009M04,Food (COICOP 01.1),109.5
EU HICP,2009M04,Bread and cereals (COICOP 01.1.1),108.9
EU HICP,2009M04,Meat (COICOP 01.1.2),111.7
EU HICP,2009M05,All-items HICP (COICOP 00),98.3
EU HICP,2009M05,Food and non-alcoholic beverages (COICOP 01),108.5
EU HICP,2009M05,Food (COICOP 01.1),109
EU HICP,2009M05,Bread and cereals (COICOP 01.1.1),110.2
EU HICP,2009M05,Meat (COICOP 01.1.2),111.3
EU HICP,2009M06,All-items HICP (COICOP 00),98.3
EU HICP,2009M06,Food and non-alcoholic beverages (COICOP 01),107.4
EU HICP,2009M06,Food (COICOP 01.1),108.1
EU HICP,2009M06,Bread and cereals (COICOP 01.1.1),109.7
EU HICP,2009M06,Meat (COICOP 01.1.2),110
EU HICP,2009M07,All-items HICP (COICOP 00),97.4
EU HICP,2009M07,Food and non-alcoholic beverages (COICOP 01),106.1
EU HICP,2009M07,Food (COICOP 01.1),106.7
EU HICP,2009M07,Bread and cereals (COICOP 01.1.1),108.4
EU HICP,2009M07,Meat (COICOP 01.1.2),109
EU HICP,2009M08,All-items HICP (COICOP 00),97.6
EU HICP,2009M08,Food and non-alcoholic beverages (COICOP 01),105.1
EU HICP,2009M08,Food (COICOP 01.1),105.7
EU HICP,2009M08,Bread and cereals (COICOP 01.1.1),108
EU HICP,2009M08,Meat (COICOP 01.1.2),108.7
EU HICP,2009M09,All-items HICP (COICOP 00),97.3
EU HICP,2009M09,Food and non-alcoholic beverages (COICOP 01),103.6
EU HICP,2009M09,Food (COICOP 01.1),104.3
EU HICP,2009M09,Bread and cereals (COICOP 01.1.1),106.9
EU HICP,2009M09,Meat (COICOP 01.1.2),107.4
EU HICP,2009M10,All-items HICP (COICOP 00),97
EU HICP,2009M10,Food and non-alcoholic beverages (COICOP 01),103.1
EU HICP,2009M10,Food (COICOP 01.1),103.8
EU HICP,2009M10,Bread and cereals (COICOP 01.1.1),106.2
EU HICP,2009M10,Meat (COICOP 01.1.2),107.2
EU HICP,2009M11,All-items HICP (COICOP 00),97
EU HICP,2009M11,Food and non-alcoholic beverages (COICOP 01),102.3
EU HICP,2009M11,Food (COICOP 01.1),103
EU HICP,2009M11,Bread and cereals (COICOP 01.1.1),105.5
EU HICP,2009M11,Meat (COICOP 01.1.2),106.8
EU HICP,2009M12,All-items HICP (COICOP 00),96.5
EU HICP,2009M12,Food and non-alcoholic beverages (COICOP 01),101.8
EU HICP,2009M12,Food (COICOP 01.1),102.6
EU HICP,2009M12,Bread and cereals (COICOP 01.1.1),105.2
EU HICP,2009M12,Meat (COICOP 01.1.2),106.3
EU HICP,2010M01,All-items HICP (COICOP 00),95.8
EU HICP,2010M01,Food and non-alcoholic beverages (COICOP 01),101.9
EU HICP,2010M01,Food (COICOP 01.1),102.6
EU HICP,2010M01,Bread and cereals (COICOP 01.1.1),104.7
EU HICP,2010M01,Meat (COICOP 01.1.2),105.7
EU HICP,2010M02,All-items HICP (COICOP 00),96
EU HICP,2010M02,Food and non-alcoholic beverages (COICOP 01),101.7
EU HICP,2010M02,Food (COICOP 01.1),102.4
EU HICP,2010M02,Bread and cereals (COICOP 01.1.1),104
EU HICP,2010M02,Meat (COICOP 01.1.2),104.5
EU HICP,2010M03,All-items HICP (COICOP 00),96.1
EU HICP,2010M03,Food and non-alcoholic beverages (COICOP 01),101.5
EU HICP,2010M03,Food (COICOP 01.1),102.2
EU HICP,2010M03,Bread and cereals (COICOP 01.1.1),104.6
EU HICP,2010M03,Meat (COICOP 01.1.2),103.6
EU HICP,2010M04,All-items HICP (COICOP 00),96.2
EU HICP,2010M04,Food and non-alcoholic beverages (COICOP 01),101.2
EU HICP,2010M04,Food (COICOP 01.1),101.8
EU HICP,2010M04,Bread and cereals (COICOP 01.1.1),104
EU HICP,2010M04,Meat (COICOP 01.1.2),103
EU HICP,2010M05,All-items HICP (COICOP 00),96.4
EU HICP,2010M05,Food and non-alcoholic beverages (COICOP 01),101.6
EU HICP,2010M05,Food (COICOP 01.1),102.2
EU HICP,2010M05,Bread and cereals (COICOP 01.1.1),103.7
EU HICP,2010M05,Meat (COICOP 01.1.2),103.5
EU HICP,2010M06,All-items HICP (COICOP 00),96.3
EU HICP,2010M06,Food and non-alcoholic beverages (COICOP 01),101.7
EU HICP,2010M06,Food (COICOP 01.1),102.2
EU HICP,2010M06,Bread and cereals (COICOP 01.1.1),103.4
EU HICP,2010M06,Meat (COICOP 01.1.2),103.7
EU HICP,2010M07,All-items HICP (COICOP 00),96.2
EU HICP,2010M07,Food and non-alcoholic beverages (COICOP 01),102.1
EU HICP,2010M07,Food (COICOP 01.1),102.5
EU HICP,2010M07,Bread and cereals (COICOP 01.1.1),102.8
EU HICP,2010M07,Meat (COICOP 01.1.2),103.3
EU HICP,2010M08,All-items HICP (COICOP 00),96.4
EU HICP,2010M08,Food and non-alcoholic beverages (COICOP 01),101.7
EU HICP,2010M08,Food (COICOP 01.1),102.3
EU HICP,2010M08,Bread and cereals (COICOP 01.1.1),103.6
EU HICP,2010M08,Meat (COICOP 01.1.2),102.4
EU HICP,2010M09,All-items HICP (COICOP 00),96.2
EU HICP,2010M09,Food and non-alcoholic beverages (COICOP 01),101.5
EU HICP,2010M09,Food (COICOP 01.1),102
EU HICP,2010M09,Bread and cereals (COICOP 01.1.1),104.3
EU HICP,2010M09,Meat (COICOP 01.1.2),101.8
EU HICP,2010M10,All-items HICP (COICOP 00),96.3
EU HICP,2010M10,Food and non-alcoholic beverages (COICOP 01),101.7
EU HICP,2010M10,Food (COICOP 01.1),102.1
EU HICP,2010M10,Bread and cereals (COICOP 01.1.1),104.4
EU HICP,2010M10,Meat (COICOP 01.1.2),101.5
EU HICP,2010M11,All-items HICP (COICOP 00),96.1
EU HICP,2010M11,Food and non-alcoholic beverages (COICOP 01),101.5
EU HICP,2010M11,Food (COICOP 01.1),101.9
EU HICP,2010M11,Bread and cereals (COICOP 01.1.1),105.2
EU HICP,2010M11,Meat (COICOP 01.1.2),101.5
EU HICP,2010M12,All-items HICP (COICOP 00),96.3
EU HICP,2010M12,Food and non-alcoholic beverages (COICOP 01),101.9
EU HICP,2010M12,Food (COICOP 01.1),102.3
EU HICP,2010M12,Bread and cereals (COICOP 01.1.1),105.9
EU HICP,2010M12,Meat (COICOP 01.1.2),101.5
EU HICP,2011M01,All-items HICP (COICOP 00),96.1
EU HICP,2011M01,Food and non-alcoholic beverages (COICOP 01),102.2
EU HICP,2011M01,Food (COICOP 01.1),102.5
EU HICP,2011M01,Bread and cereals (COICOP 01.1.1),105.2
EU HICP,2011M01,Meat (COICOP 01.1.2),102
EU HICP,2011M02,All-items HICP (COICOP 00),96.9
EU HICP,2011M02,Food and non-alcoholic beverages (COICOP 01),103
EU HICP,2011M02,Food (COICOP 01.1),103.2
EU HICP,2011M02,Bread and cereals (COICOP 01.1.1),106.2
EU HICP,2011M02,Meat (COICOP 01.1.2),102
EU HICP,2011M03,All-items HICP (COICOP 00),97.3
EU HICP,2011M03,Food and non-alcoholic beverages (COICOP 01),103.1
EU HICP,2011M03,Food (COICOP 01.1),103.3
EU HICP,2011M03,Bread and cereals (COICOP 01.1.1),107.1
EU HICP,2011M03,Meat (COICOP 01.1.2),102.5
EU HICP,2011M04,All-items HICP (COICOP 00),97.6
EU HICP,2011M04,Food and non-alcoholic beverages (COICOP 01),102.6
EU HICP,2011M04,Food (COICOP 01.1),102.8
EU HICP,2011M04,Bread and cereals (COICOP 01.1.1),106.8
EU HICP,2011M04,Meat (COICOP 01.1.2),101.4
EU HICP,2011M05,All-items HICP (COICOP 00),97.6
EU HICP,2011M05,Food and non-alcoholic beverages (COICOP 01),102.6
EU HICP,2011M05,Food (COICOP 01.1),102.7
EU HICP,2011M05,Bread and cereals (COICOP 01.1.1),106.5
EU HICP,2011M05,Meat (COICOP 01.1.2),102
EU HICP,2011M06,All-items HICP (COICOP 00),97.4
EU HICP,2011M06,Food and non-alcoholic beverages (COICOP 01),102.4
EU HICP,2011M06,Food (COICOP 01.1),102.5
EU HICP,2011M06,Bread and cereals (COICOP 01.1.1),106.6
EU HICP,2011M06,Meat (COICOP 01.1.2),102
EU HICP,2011M07,All-items HICP (COICOP 00),97.2
EU HICP,2011M07,Food and non-alcoholic beverages (COICOP 01),103.1
EU HICP,2011M07,Food (COICOP 01.1),103.3
EU HICP,2011M07,Bread and cereals (COICOP 01.1.1),106.5
EU HICP,2011M07,Meat (COICOP 01.1.2),103
EU HICP,2011M08,All-items HICP (COICOP 00),97.4
EU HICP,2011M08,Food and non-alcoholic beverages (COICOP 01),103.2
EU HICP,2011M08,Food (COICOP 01.1),103.4
EU HICP,2011M08,Bread and cereals (COICOP 01.1.1),105.9
EU HICP,2011M08,Meat (COICOP 01.1.2),102.8
EU HICP,2011M09,All-items HICP (COICOP 00),97.5
EU HICP,2011M09,Food and non-alcoholic beverages (COICOP 01),102.9
EU HICP,2011M09,Food (COICOP 01.1),103.1
EU HICP,2011M09,Bread and cereals (COICOP 01.1.1),105.8
EU HICP,2011M09,Meat (COICOP 01.1.2),103.1
EU HICP,2011M10,All-items HICP (COICOP 00),97.8
EU HICP,2011M10,Food and non-alcoholic beverages (COICOP 01),103.1
EU HICP,2011M10,Food (COICOP 01.1),103.2
EU HICP,2011M10,Bread and cereals (COICOP 01.1.1),106.4
EU HICP,2011M10,Meat (COICOP 01.1.2),102.3
EU HICP,2011M11,All-items HICP (COICOP 00),97.8
EU HICP,2011M11,Food and non-alcoholic beverages (COICOP 01),103.1
EU HICP,2011M11,Food (COICOP 01.1),103.3
EU HICP,2011M11,Bread and cereals (COICOP 01.1.1),105.9
EU HICP,2011M11,Meat (COICOP 01.1.2),104.1
EU HICP,2011M12,All-items HICP (COICOP 00),97.7
EU HICP,2011M12,Food and non-alcoholic beverages (COICOP 01),103.1
EU HICP,2011M12,Food (COICOP 01.1),103.2
EU HICP,2011M12,Bread and cereals (COICOP 01.1.1),105.4
EU HICP,2011M12,Meat (COICOP 01.1.2),102.9
EU HICP,2012M01,All-items HICP (COICOP 00),97.3
EU HICP,2012M01,Food and non-alcoholic beverages (COICOP 01),102.5
EU HICP,2012M01,Food (COICOP 01.1),102.8
EU HICP,2012M01,Bread and cereals (COICOP 01.1.1),104.8
EU HICP,2012M01,Meat (COICOP 01.1.2),102.4
EU HICP,2012M02,All-items HICP (COICOP 00),98.4
EU HICP,2012M02,Food and non-alcoholic beverages (COICOP 01),102.8
EU HICP,2012M02,Food (COICOP 01.1),102.8
EU HICP,2012M02,Bread and cereals (COICOP 01.1.1),105.3
EU HICP,2012M02,Meat (COICOP 01.1.2),102.1
EU HICP,2012M03,All-items HICP (COICOP 00),99.4
EU HICP,2012M03,Food and non-alcoholic beverages (COICOP 01),102.7
EU HICP,2012M03,Food (COICOP 01.1),102.5
EU HICP,2012M03,Bread and cereals (COICOP 01.1.1),104.3
EU HICP,2012M03,Meat (COICOP 01.1.2),102.1
EU HICP,2012M04,All-items HICP (COICOP 00),99.4
EU HICP,2012M04,Food and non-alcoholic beverages (COICOP 01),103.2
EU HICP,2012M04,Food (COICOP 01.1),103.3
EU HICP,2012M04,Bread and cereals (COICOP 01.1.1),104.8
EU HICP,2012M04,Meat (COICOP 01.1.2),103
EU HICP,2012M05,All-items HICP (COICOP 00),99.4
EU HICP,2012M05,Food and non-alcoholic beverages (COICOP 01),103.2
EU HICP,2012M05,Food (COICOP 01.1),103.1
EU HICP,2012M05,Bread and cereals (COICOP 01.1.1),104.8
EU HICP,2012M05,Meat (COICOP 01.1.2),103
EU HICP,2012M06,All-items HICP (COICOP 00),99.2
EU HICP,2012M06,Food and non-alcoholic beverages (COICOP 01),103.2
EU HICP,2012M06,Food (COICOP 01.1),103.1
EU HICP,2012M06,Bread and cereals (COICOP 01.1.1),104.1
EU HICP,2012M06,Meat (COICOP 01.1.2),102.5
EU HICP,2012M07,All-items HICP (COICOP 00),99.1
EU HICP,2012M07,Food and non-alcoholic beverages (COICOP 01),103.3
EU HICP,2012M07,Food (COICOP 01.1),103.1
EU HICP,2012M07,Bread and cereals (COICOP 01.1.1),104.5
EU HICP,2012M07,Meat (COICOP 01.1.2),102.9
EU HICP,2012M08,All-items HICP (COICOP 00),99.9
EU HICP,2012M08,Food and non-alcoholic beverages (COICOP 01),103.5
EU HICP,2012M08,Food (COICOP 01.1),103.4
EU HICP,2012M08,Bread and cereals (COICOP 01.1.1),103.9
EU HICP,2012M08,Meat (COICOP 01.1.2),102.8
EU HICP,2012M09,All-items HICP (COICOP 00),99.9
EU HICP,2012M09,Food and non-alcoholic beverages (COICOP 01),103.7
EU HICP,2012M09,Food (COICOP 01.1),103.6
EU HICP,2012M09,Bread and cereals (COICOP 01.1.1),103.7
EU HICP,2012M09,Meat (COICOP 01.1.2),103.1
EU HICP,2012M10,All-items HICP (COICOP 00),99.8
EU HICP,2012M10,Food and non-alcoholic beverages (COICOP 01),104.1
EU HICP,2012M10,Food (COICOP 01.1),104.1
EU HICP,2012M10,Bread and cereals (COICOP 01.1.1),104.3
EU HICP,2012M10,Meat (COICOP 01.1.2),103.8
EU HICP,2012M11,All-items HICP (COICOP 00),99.3
EU HICP,2012M11,Food and non-alcoholic beverages (COICOP 01),104.1
EU HICP,2012M11,Food (COICOP 01.1),103.9
EU HICP,2012M11,Bread and cereals (COICOP 01.1.1),104.4
EU HICP,2012M11,Meat (COICOP 01.1.2),103.5
EU HICP,2012M12,All-items HICP (COICOP 00),99.4
EU HICP,2012M12,Food and non-alcoholic beverages (COICOP 01),104.8
EU HICP,2012M12,Food (COICOP 01.1),104.7
EU HICP,2012M12,Bread and cereals (COICOP 01.1.1),105.5
EU HICP,2012M12,Meat (COICOP 01.1.2),103.8
EU HICP,2013M01,All-items HICP (COICOP 00),98.8
EU HICP,2013M01,Food and non-alcoholic beverages (COICOP 01),105
EU HICP,2013M01,Food (COICOP 01.1),105.1
EU HICP,2013M01,Bread and cereals (COICOP 01.1.1),105.8
EU HICP,2013M01,Meat (COICOP 01.1.2),104
EU HICP,2013M02,All-items HICP (COICOP 00),99.6
EU HICP,2013M02,Food and non-alcoholic beverages (COICOP 01),104.8
EU HICP,2013M02,Food (COICOP 01.1),104.8
EU HICP,2013M02,Bread and cereals (COICOP 01.1.1),105.6
EU HICP,2013M02,Meat (COICOP 01.1.2),104.3
EU HICP,2013M03,All-items HICP (COICOP 00),100
EU HICP,2013M03,Food and non-alcoholic beverages (COICOP 01),104.4
EU HICP,2013M03,Food (COICOP 01.1),104.3
EU HICP,2013M03,Bread and cereals (COICOP 01.1.1),105.6
EU HICP,2013M03,Meat (COICOP 01.1.2),104.1
EU HICP,2013M04,All-items HICP (COICOP 00),99.9
EU HICP,2013M04,Food and non-alcoholic beverages (COICOP 01),104.8
EU HICP,2013M04,Food (COICOP 01.1),104.8
EU HICP,2013M04,Bread and cereals (COICOP 01.1.1),105.8
EU HICP,2013M04,Meat (COICOP 01.1.2),104.3
EU HICP,2013M05,All-items HICP (COICOP 00),99.8
EU HICP,2013M05,Food and non-alcoholic beverages (COICOP 01),104.8
EU HICP,2013M05,Food (COICOP 01.1),104.8
EU HICP,2013M05,Bread and cereals (COICOP 01.1.1),105.4
EU HICP,2013M05,Meat (COICOP 01.1.2),104.4
EU HICP,2013M06,All-items HICP (COICOP 00),99.9
EU HICP,2013M06,Food and non-alcoholic beverages (COICOP 01),104.9
EU HICP,2013M06,Food (COICOP 01.1),105.1
EU HICP,2013M06,Bread and cereals (COICOP 01.1.1),105.6
EU HICP,2013M06,Meat (COICOP 01.1.2),105.3
EU HICP,2013M07,All-items HICP (COICOP 00),99.9
EU HICP,2013M07,Food and non-alcoholic beverages (COICOP 01),105.4
EU HICP,2013M07,Food (COICOP 01.1),105.5
EU HICP,2013M07,Bread and cereals (COICOP 01.1.1),105.5
EU HICP,2013M07,Meat (COICOP 01.1.2),105.7
EU HICP,2013M08,All-items HICP (COICOP 00),100
EU HICP,2013M08,Food and non-alcoholic beverages (COICOP 01),104.7
EU HICP,2013M08,Food (COICOP 01.1),104.8
EU HICP,2013M08,Bread and cereals (COICOP 01.1.1),104.9
EU HICP,2013M08,Meat (COICOP 01.1.2),104.8
EU HICP,2013M09,All-items HICP (COICOP 00),99.9
EU HICP,2013M09,Food and non-alcoholic beverages (COICOP 01),104
EU HICP,2013M09,Food (COICOP 01.1),104.1
EU HICP,2013M09,Bread and cereals (COICOP 01.1.1),104.2
EU HICP,2013M09,Meat (COICOP 01.1.2),104
EU HICP,2013M10,All-items HICP (COICOP 00),99.7
EU HICP,2013M10,Food and non-alcoholic beverages (COICOP 01),104.1
EU HICP,2013M10,Food (COICOP 01.1),104.2
EU HICP,2013M10,Bread and cereals (COICOP 01.1.1),104.6
EU HICP,2013M10,Meat (COICOP 01.1.2),104.8
EU HICP,2013M11,All-items HICP (COICOP 00),99.6
EU HICP,2013M11,Food and non-alcoholic beverages (COICOP 01),103.8
EU HICP,2013M11,Food (COICOP 01.1),103.9
EU HICP,2013M11,Bread and cereals (COICOP 01.1.1),104
EU HICP,2013M11,Meat (COICOP 01.1.2),104.5
EU HICP,2013M12,All-items HICP (COICOP 00),99.7
EU HICP,2013M12,Food and non-alcoholic beverages (COICOP 01),103.6
EU HICP,2013M12,Food (COICOP 01.1),103.7
EU HICP,2013M12,Bread and cereals (COICOP 01.1.1),104.6
EU HICP,2013M12,Meat (COICOP 01.1.2),104.4
EU HICP,2014M01,All-items HICP (COICOP 00),99.1
EU HICP,2014M01,Food and non-alcoholic beverages (COICOP 01),103.3
EU HICP,2014M01,Food (COICOP 01.1),103.5
EU HICP,2014M01,Bread and cereals (COICOP 01.1.1),103.7
EU HICP,2014M01,Meat (COICOP 01.1.2),103.4
EU HICP,2014M02,All-items HICP (COICOP 00),99.7
EU HICP,2014M02,Food and non-alcoholic beverages (COICOP 01),103.1
EU HICP,2014M02,Food (COICOP 01.1),103
EU HICP,2014M02,Bread and cereals (COICOP 01.1.1),103.6
EU HICP,2014M02,Meat (COICOP 01.1.2),103.4
EU HICP,2014M03,All-items HICP (COICOP 00),100.2
EU HICP,2014M03,Food and non-alcoholic beverages (COICOP 01),102.8
EU HICP,2014M03,Food (COICOP 01.1),102.8
EU HICP,2014M03,Bread and cereals (COICOP 01.1.1),104
EU HICP,2014M03,Meat (COICOP 01.1.2),103.7
EU HICP,2014M04,All-items HICP (COICOP 00),100.2
EU HICP,2014M04,Food and non-alcoholic beverages (COICOP 01),102.7
EU HICP,2014M04,Food (COICOP 01.1),102.6
EU HICP,2014M04,Bread and cereals (COICOP 01.1.1),103.3
EU HICP,2014M04,Meat (COICOP 01.1.2),103.3
EU HICP,2014M05,All-items HICP (COICOP 00),100.2
EU HICP,2014M05,Food and non-alcoholic beverages (COICOP 01),102.8
EU HICP,2014M05,Food (COICOP 01.1),102.8
EU HICP,2014M05,Bread and cereals (COICOP 01.1.1),103.3
EU HICP,2014M05,Meat (COICOP 01.1.2),103
EU HICP,2014M06,All-items HICP (COICOP 00),100.4
EU HICP,2014M06,Food and non-alcoholic beverages (COICOP 01),102.5
EU HICP,2014M06,Food (COICOP 01.1),102.5
EU HICP,2014M06,Bread and cereals (COICOP 01.1.1),103.2
EU HICP,2014M06,Meat (COICOP 01.1.2),102.9
EU HICP,2014M07,All-items HICP (COICOP 00),100.3
EU HICP,2014M07,Food and non-alcoholic beverages (COICOP 01),102.1
EU HICP,2014M07,Food (COICOP 01.1),102.1
EU HICP,2014M07,Bread and cereals (COICOP 01.1.1),102.3
EU HICP,2014M07,Meat (COICOP 01.1.2),103
EU HICP,2014M08,All-items HICP (COICOP 00),100.6
EU HICP,2014M08,Food and non-alcoholic beverages (COICOP 01),102
EU HICP,2014M08,Food (COICOP 01.1),102.1
EU HICP,2014M08,Bread and cereals (COICOP 01.1.1),102.2
EU HICP,2014M08,Meat (COICOP 01.1.2),102.1
EU HICP,2014M09,All-items HICP (COICOP 00),100.4
EU HICP,2014M09,Food and non-alcoholic beverages (COICOP 01),101.6
EU HICP,2014M09,Food (COICOP 01.1),101.7
EU HICP,2014M09,Bread and cereals (COICOP 01.1.1),102.1
EU HICP,2014M09,Meat (COICOP 01.1.2),102.4
EU HICP,2014M10,All-items HICP (COICOP 00),100.1
EU HICP,2014M10,Food and non-alcoholic beverages (COICOP 01),101.4
EU HICP,2014M10,Food (COICOP 01.1),101.5
EU HICP,2014M10,Bread and cereals (COICOP 01.1.1),101.4
EU HICP,2014M10,Meat (COICOP 01.1.2),101.6
EU HICP,2014M11,All-items HICP (COICOP 00),99.8
EU HICP,2014M11,Food and non-alcoholic beverages (COICOP 01),101.1
EU HICP,2014M11,Food (COICOP 01.1),101.2
EU HICP,2014M11,Bread and cereals (COICOP 01.1.1),101
EU HICP,2014M11,Meat (COICOP 01.1.2),101.4
EU HICP,2014M12,All-items HICP (COICOP 00),99.4
EU HICP,2014M12,Food and non-alcoholic beverages (COICOP 01),100.9
EU HICP,2014M12,Food (COICOP 01.1),100.9
EU HICP,2014M12,Bread and cereals (COICOP 01.1.1),101.4
EU HICP,2014M12,Meat (COICOP 01.1.2),100.8
EU HICP,2015M01,All-items HICP (COICOP 00),98.7
EU HICP,2015M01,Food and non-alcoholic beverages (COICOP 01),100.8
EU HICP,2015M01,Food (COICOP 01.1),100.9
EU HICP,2015M01,Bread and cereals (COICOP 01.1.1),100.4
EU HICP,2015M01,Meat (COICOP 01.1.2),101.5
EU HICP,2015M02,All-items HICP (COICOP 00),99.3
EU HICP,2015M02,Food and non-alcoholic beverages (COICOP 01),100.1
EU HICP,2015M02,Food (COICOP 01.1),100.1
EU HICP,2015M02,Bread and cereals (COICOP 01.1.1),100.6
EU HICP,2015M02,Meat (COICOP 01.1.2),100.5
EU HICP,2015M03,All-items HICP (COICOP 00),100
EU HICP,2015M03,Food and non-alcoholic beverages (COICOP 01),100
EU HICP,2015M03,Food (COICOP 01.1),99.9
EU HICP,2015M03,Bread and cereals (COICOP 01.1.1),99.9
EU HICP,2015M03,Meat (COICOP 01.1.2),101.1
EU HICP,2015M04,All-items HICP (COICOP 00),99.9
EU HICP,2015M04,Food and non-alcoholic beverages (COICOP 01),100.2
EU HICP,2015M04,Food (COICOP 01.1),100.3
EU HICP,2015M04,Bread and cereals (COICOP 01.1.1),101.5
EU HICP,2015M04,Meat (COICOP 01.1.2),100.8
EU HICP,2015M05,All-items HICP (COICOP 00),100.4
EU HICP,2015M05,Food and non-alcoholic beverages (COICOP 01),100.3
EU HICP,2015M05,Food (COICOP 01.1),100.3
EU HICP,2015M05,Bread and cereals (COICOP 01.1.1),99.5
EU HICP,2015M05,Meat (COICOP 01.1.2),101
EU HICP,2015M06,All-items HICP (COICOP 00),100.8
EU HICP,2015M06,Food and non-alcoholic beverages (COICOP 01),100.2
EU HICP,2015M06,Food (COICOP 01.1),100
EU HICP,2015M06,Bread and cereals (COICOP 01.1.1),100.4
EU HICP,2015M06,Meat (COICOP 01.1.2),100.4
EU HICP,2015M07,All-items HICP (COICOP 00),100.5
EU HICP,2015M07,Food and non-alcoholic beverages (COICOP 01),99.7
EU HICP,2015M07,Food (COICOP 01.1),99.7
EU HICP,2015M07,Bread and cereals (COICOP 01.1.1),99.9
EU HICP,2015M07,Meat (COICOP 01.1.2),99.6
EU HICP,2015M08,All-items HICP (COICOP 00),100.8
EU HICP,2015M08,Food and non-alcoholic beverages (COICOP 01),99.7
EU HICP,2015M08,Food (COICOP 01.1),99.7
