Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,Outliers
Test,Pedestrian Total,NA,KNN,0.5,950522.3236,765.7071955,92%,Ridge,"{'normalize': True, 'alpha': 0.001}",Removed
Test,Pedestrian Total,NA,Pandas,0.1,1133621.68,745.574321,91%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,1687213.042,937.0917278,90%,Ridge,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.1,1196817.978,757.5389179,90%,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,1829271.037,981.8995669,89%,Ridge,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.3,1235032.076,843.7540592,89%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Test,Pedestrian Total,NA,Pandas,0.1,1297565.721,802.2950997,89%,RandomForest,"{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Test,Pedestrian Total,Standard,Pandas,0.1,1306416.636,808.4196502,89%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",Not Removed
Test,Pedestrian Total,NA,Pandas,0.3,1252666.121,849.6654046,89%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,1905436.866,1003.915574,89%,Ridge,NA,Removed
Test,Pedestrian Total,NA,Pandas,0.1,1359985.42,819.2376882,89%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Removed
Test,Pedestrian Total,NA,Pandas,0.3,1361401.454,895.303757,89%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Not Removed
Test,Pedestrian Total,NA,Pandas,0.1,1382494.315,830.0717076,89%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,Standard,KNN,0.1,1395086.637,898.6804033,89%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,Standard,Pandas,0.3,1412377.979,914.1304839,88%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,2045021.071,1004.884309,88%,RandomForest,NA,Removed
Test,Pedestrian Total,NA,Pandas,0.3,1435077.554,847.3380645,88%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Removed
Test,Pedestrian Total,NA,Pandas,0.5,1532582.009,921.4334995,88%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Test,Pedestrian Total,Standard,Pandas,0.5,1534848.89,924.3527642,88%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Test,Pedestrian Total,NA,Pandas,0.3,1485575.375,891.4925235,88%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Test,Pedestrian Total,Standard,Pandas,0.3,1493334.972,893.1069685,88%,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Removed
Test,Pedestrian Total,NA,Pandas,0.1,1503954.869,890.3793959,88%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Test,Pedestrian Total,Standard,Pandas,0.1,1504126.848,890.387259,88%,Ridge,"{'normalize': False, 'alpha': 0.01}",Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,2144026.073,1101.184871,88%,Ridge,NA,Removed
Test,Pedestrian Total,NA,Pandas,0.5,1464953.519,883.2307915,88%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,2178079.934,1045.081583,87%,RandomForest,NA,Removed
Test,Pedestrian Total,NA,Pandas,0.3,1476623.341,868.1989078,87%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,2231552.639,1097.675906,87%,Ridge,NA,Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,2249798.678,1085.709731,87%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,2269751.209,1111.467067,87%,Ridge,NA,Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,2338730.401,1187.694889,87%,RandomForest,NA,Removed
Test,Pedestrian Total,NA,Pandas,0.1,1696081.138,939.572223,86%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,2402968.64,1208.192871,86%,RandomForest,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.1,1697529.605,939.8792475,86%,Ridge,"{'normalize': False, 'alpha': 5}",Removed
Test,Pedestrian Total,NA,KNN,0.5,1669943.392,1027.410823,86%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Test,Pedestrian Total,Standard,Pandas,0.3,1690536.98,1013.918397,86%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Test,Pedestrian Total,NA,Pandas,0.3,1692470.638,1014.64382,86%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Test,Pedestrian Total,Standard,KNN,0.5,1731968.898,1043.954926,85%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,2699470.493,1147.652388,85%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,2854364.425,1196.462238,84%,RandomForest,NA,Not Removed
Test,Pedestrian Total,Standard,KNN,0.1,2032000.984,1084.229402,83%,KNN,"{'p': 2, 'n_neighbors': 5, 'leaf_size': 20}",Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,3247161.467,1455.752633,81%,RandomForest,NA,Removed
Test,Pedestrian Total,NA,Pandas,0.5,2500271.656,1229.243958,80%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Test,Pedestrian Total,NA,Pandas,0.5,2353774.75,1288.322769,80%,Ridge,"{'normalize': True, 'alpha': 0.001}",Removed
Test,Pedestrian Total,Standard,Pandas,0.5,2354553.771,1288.843717,80%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Test,Pedestrian Total,NA,KNN,0.5,2635471.452,1236.588809,79%,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,3820601.597,1421.198793,78%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,3981811.099,1542.990884,77%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,3984857.756,1505.457772,77%,RandomForest,NA,Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,2899996.927,1273.462725,77%,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,3982963.22,1424.917008,77%,KNN,NA,Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,4209457.086,1396.558814,76%,KNN,NA,Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,4448649.024,1615.535736,75%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,4527967.822,1682.420412,74%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,4516705.723,1516.199271,74%,KNN,NA,Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,4678782.538,1528.993288,73%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,4681272.916,1717.82901,73%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,4811143.933,1741.690773,73%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,4811170.62,1718.296653,73%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,4739346.672,1600.642665,73%,KNN,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.1,3424561.52,1315.877397,72%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 50}",Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,5042552.004,1622.9775,71%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.3,5311017.035,1667.03484,70%,KNN,NA,Not Removed
Test,Pedestrian Total,NA,Pandas,0.5,3656329.073,1584.244961,69%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,5524060.448,1764.676244,69%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,5678088.816,1949.387897,68%,RandomForest,NA,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.1,3978758.397,1444.803134,67%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,5664088.068,1767.71096,67%,KNN,NA,Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.3,5757957.892,1851.900235,67%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,6029950.489,1918.832834,65%,KNN,NA,Removed
Test,Pedestrian Total,Standard,KNN,0.3,4086273.465,1599.261878,65%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Removed
Test,Pedestrian Total,Standard,Pandas,0.5,4131257.7,1655.424385,65%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Test,Pedestrian Total,Standard,KNN,0.3,4899766.732,1730.216527,60%,KNN,"{'p': 2, 'n_neighbors': 5, 'leaf_size': 20}",Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,7313267.794,2015.568961,58%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,7914416.732,2234.28371,55%,KNN,NA,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.3,5440106.984,1852.495214,53%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 50}",Removed
Test,Pedestrian Total,Standard,KNN,0.5,7534690.015,2076.758128,41%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Test,Pedestrian Total,Standard,Pandas,0.3,7596761.568,2252.041147,37%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,7508380.699,2092.254928,36%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,15889851.95,3298.05988,10%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,16733306.3,3319.64686,5%,Ridge,NA,Not Removed
Test,Pedestrian Total,NA,Pandas,0.5,12230372.4,3006.376979,4%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,17027906.9,3306.191399,3%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,17075367.48,3347.492795,3%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,17878209.05,3270.852698,-3%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,17949650.72,3237.19447,-4%,Ridge,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.5,13602443.54,3136.662907,-6%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,20881819.66,3423.795278,-20%,Ridge,NA,Removed
Test,Pedestrian Total,Standard,Pandas,0.5,14347773.71,3147.709579,-22%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,Standard,Pandas,0.5,16764871.13,3461.93925,-31%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,22969591.84,3518.563887,-32%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,25230054.98,4369.527539,-43%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,25494189.86,4392.426609,-45%,Ridge,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,25846528.44,3746.846148,-49%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,27543689.5,3864.545359,-59%,Ridge,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,36441024.3,4618.608303,-107%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,37644811.8,4707.671073,-117%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,37717907.2,4715.049025,-118%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,38683057.99,4800.355428,-120%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,39805449.67,4881.875174,-126%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,40133892.15,4906.962218,-131%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,40234588.93,4911.745447,-132%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,43680393.27,5199.565323,-148%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,43872155.39,5225.396968,-153%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,44346167.01,5247.333503,-156%,RandomForest,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,45573329.59,5342.958335,-159%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,45870789.41,5351.410594,-161%,RandomForest,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,52227970.23,5905.787964,-201%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,52227970.23,5905.787964,-201%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,52306574.66,5913.748124,-202%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,52536629.28,5933.04383,-203%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,53831129.78,6017.674189,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,53831165.81,6017.675616,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,53913022.56,6025.762378,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,53913022.56,6025.762378,-206%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,53210031.33,5989.257176,-207%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,53276220.71,5994.35748,-207%,KNN,NA,Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,54824236.57,6100.669733,-211%,KNN,NA,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,54893938.45,6106.233676,-212%,KNN,NA,Not Removed
